dataset,run,depth,method,pruning_enabled,nodes_before,nodes_after,leaves_before,leaves_after,literals_before,literals_after,validation_accuracy_before,validation_accuracy_after,validation_balanced_accuracy_before,validation_balanced_accuracy_after,validation_sensitivity_before,validation_sensitivity_after,validation_specificity_before,validation_specificity_after,validation_macro_f1_before,validation_macro_f1_after,validation_minority_recall_before,validation_minority_recall_after,validation_class_support,root_reason,reason_counts,pruning_time,path_certified
"antihorn_chain__noise_10",1,4,unary,false,31,31,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",1,4,horn,false,25,25,13,13,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",1,4,antihorn,false,25,25,13,13,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",1,4,square2cnf,false,25,25,13,13,48,48,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",1,4,affine,false,31,31,16,16,33,33,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",2,4,unary,false,31,31,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",2,4,horn,false,27,27,14,14,26,26,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",2,4,antihorn,false,25,25,13,13,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",2,4,square2cnf,false,25,25,13,13,48,48,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",2,4,affine,false,29,29,15,15,31,31,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",3,4,unary,false,29,29,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",3,4,horn,false,25,25,13,13,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",3,4,antihorn,false,25,25,13,13,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",3,4,square2cnf,false,21,21,11,11,40,40,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",3,4,affine,false,27,27,14,14,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",4,4,unary,false,31,31,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",4,4,horn,false,25,25,13,13,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",4,4,antihorn,false,25,25,13,13,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",4,4,square2cnf,false,25,25,13,13,48,48,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"antihorn_chain__noise_10",4,4,affine,false,31,31,16,16,33,33,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",0,4,unary,false,9,9,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",0,4,horn,false,7,7,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",0,4,antihorn,false,9,9,5,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",0,4,square2cnf,false,7,7,4,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",0,4,affine,false,15,15,8,8,17,17,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",1,4,unary,false,9,9,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",1,4,horn,false,7,7,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",1,4,antihorn,false,9,9,5,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",1,4,square2cnf,false,7,7,4,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",1,4,affine,false,15,15,8,8,17,17,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"horn_chain__noise_00",2,4,unary,false,9,9,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
