dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"horn_simple__noise_05",3,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"horn_simple__noise_05",4,4,unary,1,"{""Unary"": 13}","uncommitted","StructuralHorn"
"horn_simple__noise_05",4,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"horn_simple__noise_05",4,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"horn_simple__noise_05",4,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
"horn_simple__noise_05",4,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"horn_simple__noise_10",0,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"horn_simple__noise_10",0,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"horn_simple__noise_10",0,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"horn_simple__noise_10",0,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
"horn_simple__noise_10",0,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"horn_simple__noise_10",1,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"horn_simple__noise_10",1,4,horn,1,"{""Horn"": 13}","horn","StructuralHorn"
"horn_simple__noise_10",1,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"horn_simple__noise_10",1,4,square2cnf,1,"{""Square2Cnf"": 12}","two_sat","TwoSat"
"horn_simple__noise_10",1,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"horn_simple__noise_10",2,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"horn_simple__noise_10",2,4,horn,1,"{""Horn"": 13}","horn","StructuralHorn"
"horn_simple__noise_10",2,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"horn_simple__noise_10",2,4,square2cnf,1,"{""Square2Cnf"": 12}","two_sat","TwoSat"
"horn_simple__noise_10",2,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"horn_simple__noise_10",3,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"horn_simple__noise_10",3,4,horn,1,"{""Horn"": 13}","horn","StructuralHorn"
"horn_simple__noise_10",3,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"horn_simple__noise_10",3,4,square2cnf,1,"{""Square2Cnf"": 12}","two_sat","TwoSat"
"horn_simple__noise_10",3,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"horn_simple__noise_10",4,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"horn_simple__noise_10",4,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"horn_simple__noise_10",4,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"horn_simple__noise_10",4,4,square2cnf,1,"{""Square2Cnf"": 13}","two_sat","TwoSat"
"horn_simple__noise_10",4,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_00",0,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_i__noise_00",0,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_i__noise_00",0,4,antihorn,1,"{""AntiHorn"": 2}","antihorn","StructuralAntiHorn"
"square_form_i__noise_00",0,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_i__noise_00",0,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_00",1,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_i__noise_00",1,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_i__noise_00",1,4,antihorn,1,"{""AntiHorn"": 2}","antihorn","StructuralAntiHorn"
"square_form_i__noise_00",1,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_i__noise_00",1,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_00",2,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_i__noise_00",2,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_i__noise_00",2,4,antihorn,1,"{""AntiHorn"": 2}","antihorn","StructuralAntiHorn"
"square_form_i__noise_00",2,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_i__noise_00",2,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_00",3,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_i__noise_00",3,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_i__noise_00",3,4,antihorn,1,"{""AntiHorn"": 2}","antihorn","StructuralAntiHorn"
"square_form_i__noise_00",3,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_i__noise_00",3,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_00",4,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_i__noise_00",4,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_i__noise_00",4,4,antihorn,1,"{""AntiHorn"": 2}","antihorn","StructuralAntiHorn"
"square_form_i__noise_00",4,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_i__noise_00",4,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_05",0,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"square_form_i__noise_05",0,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"square_form_i__noise_05",0,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"square_form_i__noise_05",0,4,square2cnf,1,"{""Square2Cnf"": 9}","two_sat","TwoSat"
"square_form_i__noise_05",0,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_05",1,4,unary,1,"{""Unary"": 13}","uncommitted","StructuralHorn"
"square_form_i__noise_05",1,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"square_form_i__noise_05",1,4,antihorn,1,"{""AntiHorn"": 9}","antihorn","StructuralAntiHorn"
"square_form_i__noise_05",1,4,square2cnf,1,"{""Square2Cnf"": 8}","two_sat","TwoSat"
"square_form_i__noise_05",1,4,affine,1,"{""Affine"": 13}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_05",2,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"square_form_i__noise_05",2,4,horn,1,"{""Horn"": 9}","horn","StructuralHorn"
"square_form_i__noise_05",2,4,antihorn,1,"{""AntiHorn"": 9}","antihorn","StructuralAntiHorn"
"square_form_i__noise_05",2,4,square2cnf,1,"{""Square2Cnf"": 8}","two_sat","TwoSat"
"square_form_i__noise_05",2,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_05",3,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_i__noise_05",3,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"square_form_i__noise_05",3,4,antihorn,1,"{""AntiHorn"": 9}","antihorn","StructuralAntiHorn"
"square_form_i__noise_05",3,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
"square_form_i__noise_05",3,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_05",4,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_i__noise_05",4,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"square_form_i__noise_05",4,4,antihorn,1,"{""AntiHorn"": 9}","antihorn","StructuralAntiHorn"
"square_form_i__noise_05",4,4,square2cnf,1,"{""Square2Cnf"": 9}","two_sat","TwoSat"
"square_form_i__noise_05",4,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_10",0,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_i__noise_10",0,4,horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"square_form_i__noise_10",0,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"square_form_i__noise_10",0,4,square2cnf,1,"{""Square2Cnf"": 12}","two_sat","TwoSat"
"square_form_i__noise_10",0,4,affine,1,"{""Affine"": 13}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_10",1,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_i__noise_10",1,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"square_form_i__noise_10",1,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"square_form_i__noise_10",1,4,square2cnf,1,"{""Square2Cnf"": 13}","two_sat","TwoSat"
"square_form_i__noise_10",1,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_10",2,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_i__noise_10",2,4,horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"square_form_i__noise_10",2,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"square_form_i__noise_10",2,4,square2cnf,1,"{""Square2Cnf"": 9}","two_sat","TwoSat"
"square_form_i__noise_10",2,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_10",3,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_i__noise_10",3,4,horn,1,"{""Horn"": 13}","horn","StructuralHorn"
"square_form_i__noise_10",3,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"square_form_i__noise_10",3,4,square2cnf,1,"{""Square2Cnf"": 13}","two_sat","TwoSat"
"square_form_i__noise_10",3,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_i__noise_10",4,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_i__noise_10",4,4,horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"square_form_i__noise_10",4,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"square_form_i__noise_10",4,4,square2cnf,1,"{""Square2Cnf"": 10}","two_sat","TwoSat"
"square_form_i__noise_10",4,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_00",0,4,unary,1,"{""Unary"": 5}","uncommitted","StructuralHorn"
"square_form_ii__noise_00",0,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_ii__noise_00",0,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_00",0,4,square2cnf,1,"{""Square2Cnf"": 2}","two_sat","TwoSat"
"square_form_ii__noise_00",0,4,affine,1,"{""Affine"": 8}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_00",1,4,unary,1,"{""Unary"": 5}","uncommitted","StructuralHorn"
"square_form_ii__noise_00",1,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_ii__noise_00",1,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_00",1,4,square2cnf,1,"{""Square2Cnf"": 2}","two_sat","TwoSat"
"square_form_ii__noise_00",1,4,affine,1,"{""Affine"": 8}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_00",2,4,unary,1,"{""Unary"": 5}","uncommitted","StructuralHorn"
"square_form_ii__noise_00",2,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_ii__noise_00",2,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_00",2,4,square2cnf,1,"{""Square2Cnf"": 2}","two_sat","TwoSat"
"square_form_ii__noise_00",2,4,affine,1,"{""Affine"": 8}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_00",3,4,unary,1,"{""Unary"": 5}","uncommitted","StructuralHorn"
"square_form_ii__noise_00",3,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_ii__noise_00",3,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_00",3,4,square2cnf,1,"{""Square2Cnf"": 2}","two_sat","TwoSat"
"square_form_ii__noise_00",3,4,affine,1,"{""Affine"": 8}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_00",4,4,unary,1,"{""Unary"": 5}","uncommitted","StructuralHorn"
"square_form_ii__noise_00",4,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"square_form_ii__noise_00",4,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_00",4,4,square2cnf,1,"{""Square2Cnf"": 2}","two_sat","TwoSat"
"square_form_ii__noise_00",4,4,affine,1,"{""Affine"": 8}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_05",0,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"square_form_ii__noise_05",0,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"square_form_ii__noise_05",0,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_05",0,4,square2cnf,1,"{""Square2Cnf"": 9}","two_sat","TwoSat"
"square_form_ii__noise_05",0,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_05",1,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"square_form_ii__noise_05",1,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"square_form_ii__noise_05",1,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_05",1,4,square2cnf,1,"{""Square2Cnf"": 8}","two_sat","TwoSat"
"square_form_ii__noise_05",1,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_05",2,4,unary,1,"{""Unary"": 13}","uncommitted","StructuralHorn"
"square_form_ii__noise_05",2,4,horn,1,"{""Horn"": 8}","horn","StructuralHorn"
"square_form_ii__noise_05",2,4,antihorn,1,"{""AntiHorn"": 8}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_05",2,4,square2cnf,1,"{""Square2Cnf"": 8}","two_sat","TwoSat"
"square_form_ii__noise_05",2,4,affine,1,"{""Affine"": 12}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_05",3,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"square_form_ii__noise_05",3,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"square_form_ii__noise_05",3,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_05",3,4,square2cnf,1,"{""Square2Cnf"": 8}","two_sat","TwoSat"
"square_form_ii__noise_05",3,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_05",4,4,unary,1,"{""Unary"": 12}","uncommitted","StructuralHorn"
"square_form_ii__noise_05",4,4,horn,1,"{""Horn"": 8}","horn","StructuralHorn"
"square_form_ii__noise_05",4,4,antihorn,1,"{""AntiHorn"": 9}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_05",4,4,square2cnf,1,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"square_form_ii__noise_05",4,4,affine,1,"{""Affine"": 12}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_10",0,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_ii__noise_10",0,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"square_form_ii__noise_10",0,4,antihorn,1,"{""AntiHorn"": 12}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_10",0,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
"square_form_ii__noise_10",0,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_10",1,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_ii__noise_10",1,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"square_form_ii__noise_10",1,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_10",1,4,square2cnf,1,"{""Square2Cnf"": 13}","two_sat","TwoSat"
"square_form_ii__noise_10",1,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_10",2,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_ii__noise_10",2,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"square_form_ii__noise_10",2,4,antihorn,1,"{""AntiHorn"": 12}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_10",2,4,square2cnf,1,"{""Square2Cnf"": 13}","two_sat","TwoSat"
"square_form_ii__noise_10",2,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_10",3,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_ii__noise_10",3,4,horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"square_form_ii__noise_10",3,4,antihorn,1,"{""AntiHorn"": 12}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_10",3,4,square2cnf,1,"{""Square2Cnf"": 12}","two_sat","TwoSat"
"square_form_ii__noise_10",3,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_ii__noise_10",4,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_ii__noise_10",4,4,horn,1,"{""Horn"": 13}","horn","StructuralHorn"
"square_form_ii__noise_10",4,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"square_form_ii__noise_10",4,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
"square_form_ii__noise_10",4,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_00",0,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_iii__noise_00",0,4,horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"square_form_iii__noise_00",0,4,antihorn,1,"{""AntiHorn"": 4}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_00",0,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_iii__noise_00",0,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_00",1,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_iii__noise_00",1,4,horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"square_form_iii__noise_00",1,4,antihorn,1,"{""AntiHorn"": 4}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_00",1,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_iii__noise_00",1,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_00",2,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_iii__noise_00",2,4,horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"square_form_iii__noise_00",2,4,antihorn,1,"{""AntiHorn"": 4}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_00",2,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_iii__noise_00",2,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_00",3,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_iii__noise_00",3,4,horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"square_form_iii__noise_00",3,4,antihorn,1,"{""AntiHorn"": 4}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_00",3,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_iii__noise_00",3,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_00",4,4,unary,1,"{""Unary"": 6}","uncommitted","StructuralHorn"
"square_form_iii__noise_00",4,4,horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"square_form_iii__noise_00",4,4,antihorn,1,"{""AntiHorn"": 4}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_00",4,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"square_form_iii__noise_00",4,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_05",0,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"square_form_iii__noise_05",0,4,horn,1,"{""Horn"": 9}","horn","StructuralHorn"
"square_form_iii__noise_05",0,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_05",0,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
"square_form_iii__noise_05",0,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_05",1,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"square_form_iii__noise_05",1,4,horn,1,"{""Horn"": 9}","horn","StructuralHorn"
"square_form_iii__noise_05",1,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_05",1,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
"square_form_iii__noise_05",1,4,affine,1,"{""Affine"": 13}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_05",2,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"square_form_iii__noise_05",2,4,horn,1,"{""Horn"": 9}","horn","StructuralHorn"
"square_form_iii__noise_05",2,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_05",2,4,square2cnf,1,"{""Square2Cnf"": 9}","two_sat","TwoSat"
"square_form_iii__noise_05",2,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_05",3,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_iii__noise_05",3,4,horn,1,"{""Horn"": 9}","horn","StructuralHorn"
"square_form_iii__noise_05",3,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_05",3,4,square2cnf,1,"{""Square2Cnf"": 12}","two_sat","TwoSat"
"square_form_iii__noise_05",3,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_05",4,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_iii__noise_05",4,4,horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"square_form_iii__noise_05",4,4,antihorn,1,"{""AntiHorn"": 12}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_05",4,4,square2cnf,1,"{""Square2Cnf"": 10}","two_sat","TwoSat"
"square_form_iii__noise_05",4,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_10",0,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_iii__noise_10",0,4,horn,1,"{""Horn"": 9}","horn","StructuralHorn"
"square_form_iii__noise_10",0,4,antihorn,1,"{""AntiHorn"": 12}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_10",0,4,square2cnf,1,"{""Square2Cnf"": 9}","two_sat","TwoSat"
"square_form_iii__noise_10",0,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_10",1,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_iii__noise_10",1,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"square_form_iii__noise_10",1,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_10",1,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
"square_form_iii__noise_10",1,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_10",2,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_iii__noise_10",2,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"square_form_iii__noise_10",2,4,antihorn,1,"{""AntiHorn"": 12}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_10",2,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
"square_form_iii__noise_10",2,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_10",3,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_iii__noise_10",3,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"square_form_iii__noise_10",3,4,antihorn,1,"{""AntiHorn"": 9}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_10",3,4,square2cnf,1,"{""Square2Cnf"": 13}","two_sat","TwoSat"
"square_form_iii__noise_10",3,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"square_form_iii__noise_10",4,4,unary,1,"{""Unary"": 15}","uncommitted","StructuralHorn"
"square_form_iii__noise_10",4,4,horn,1,"{""Horn"": 12}","horn","StructuralHorn"
"square_form_iii__noise_10",4,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"square_form_iii__noise_10",4,4,square2cnf,1,"{""Square2Cnf"": 10}","two_sat","TwoSat"
"square_form_iii__noise_10",4,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"unary__noise_00",0,4,unary,1,"{""Unary"": 1}","uncommitted","StructuralHorn"
"unary__noise_00",0,4,horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"unary__noise_00",0,4,antihorn,1,"{""AntiHorn"": 2}","antihorn","StructuralAntiHorn"
"unary__noise_00",0,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"unary__noise_00",0,4,affine,1,"{""Affine"": 3}","affine_gf2","Gf2Gaussian"
"unary__noise_00",1,4,unary,1,"{""Unary"": 1}","uncommitted","StructuralHorn"
"unary__noise_00",1,4,horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"unary__noise_00",1,4,antihorn,1,"{""AntiHorn"": 4}","antihorn","StructuralAntiHorn"
"unary__noise_00",1,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"unary__noise_00",1,4,affine,1,"{""Affine"": 3}","affine_gf2","Gf2Gaussian"
"unary__noise_00",2,4,unary,1,"{""Unary"": 1}","uncommitted","StructuralHorn"
"unary__noise_00",2,4,horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"unary__noise_00",2,4,antihorn,1,"{""AntiHorn"": 4}","antihorn","StructuralAntiHorn"
"unary__noise_00",2,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"unary__noise_00",2,4,affine,1,"{""Affine"": 3}","affine_gf2","Gf2Gaussian"
"unary__noise_00",3,4,unary,1,"{""Unary"": 1}","uncommitted","StructuralHorn"
"unary__noise_00",3,4,horn,1,"{""Horn"": 2}","horn","StructuralHorn"
"unary__noise_00",3,4,antihorn,1,"{""AntiHorn"": 2}","antihorn","StructuralAntiHorn"
"unary__noise_00",3,4,square2cnf,1,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"unary__noise_00",3,4,affine,1,"{""Affine"": 3}","affine_gf2","Gf2Gaussian"
